Job Title,Company Name,Location,Skills,Date,Link
Full stack developer [PHP - Laravel],"Confidential - New Cairo, Cairo, Egypt 12 days ago","New Cairo, Cairo, Egypt ",Experienced · 5+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Software Development · Information Technology (IT) · Software Engineering · PHP · Python · Software,12 days ago,https://wuzzuf.net/jobs/p/SjAd33NLbvmB-Full-stack-developer-PHP---Laravel-Cairo-Egypt
Senior ERP Developer,"Milkys - The Milkman - Sheikh Zayed, Giza, Egypt 23 days ago","Sheikh Zayed, Giza, Egypt ",Experienced · 4 - 6 Yrs of Exp · IT/Software Development · Software Development · Programming · ERP-NEXT · Python · R · Front-End Development · Web Development · Agile · APIs,23 days ago,https://wuzzuf.net/jobs/p/eAOYdSfLEH0U-Senior-ERP-Developer-Milkys---The-Milkman-Giza-Egypt
Software Developer,"Aureka - Nasr City, Cairo, Egypt 17 days ago","Nasr City, Cairo, Egypt ",Experienced · 3 - 13 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · ASP.Net · JavaScript · Java · Software Development · HTML · Software · Python · CSS,17 days ago,https://wuzzuf.net/jobs/p/5bOhRqRCr9gE-Software-Developer-Aureka-Cairo-Egypt
Full Stack Engineer,"Confidential - Cairo, Egypt 21 days ago","Cairo, Egypt ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Angular · React · Python · Backend · Front End,21 days ago,https://wuzzuf.net/jobs/p/5Ykv82mkiFqx-Full-Stack-Engineer-Cairo-Egypt
Senior Cloud Solution Architect,"EXALT Technologies  - Sheraton, Cairo, Egypt 24 days ago","Sheraton, Cairo, Egypt ",Experienced · 5+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Cloud · Computer Science · DevOps · Engineering · Information Technology (IT) · Infrastructure · Linux,24 days ago,https://wuzzuf.net/jobs/p/4uAgQcQKfaTC-Senior-Cloud-Solution-Architect-EXALT-Technologies-Cairo-Egypt
Business Analyst,"Elabd Foods - Abu Rawash, Giza, Egypt 28 days ago","Abu Rawash, Giza, Egypt ",Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Agile · Analysis · analytical · Business Analysis · Data Analysis · Information Technology (IT) · Python,28 days ago,https://wuzzuf.net/jobs/p/yoRGH7V1205b-Business-Analyst-Elabd-Foods-Giza-Egypt
Senior Linux System Admin (+3 years experience),"3D Diagnostix - Maadi, Cairo, Egypt 25 days ago","Maadi, Cairo, Egypt ",Experienced · 3+ Yrs of Exp · Installation/Maintenance/Repair · IT/Software Development · Engineering - Telecom/Technology · Linux · System Administration · Information Technology (IT) · Network Administration · AWS · Bash · MySQL,25 days ago,https://wuzzuf.net/jobs/p/3bPtAsc7B4zP-Senior-Linux-System-Admin-3-years-experience-3D-Diagnostix-Cairo-Egypt
"Software Developer ""Outsourced""","Efada Technology - 6th of October, Giza, Egypt 26 days ago","6th of October, Giza, Egypt ",Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Java · Design · Software Development · Spring · RabbitMQ · Software Engineering,26 days ago,https://wuzzuf.net/jobs/p/ck0EPBdEI3dm-Software-Developer-Outsourced-Efada-Technology-Giza-Egypt
Full Stack Developer,"Genie - Alsadat City, Monufya, Egypt 29 days ago","Alsadat City, Monufya, Egypt ",Entry Level · 0 - 5 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · React · Django Framework · Python · tailwindcss · Full Stack Developer · JavaScript · Odoo · Computer Science,29 days ago,https://wuzzuf.net/jobs/p/DE6JGQgQcIlz-Full-Stack-Developer-Genie-Monufya-Egypt
Data Engineer,"COB Solution  - Maadi, Cairo, Egypt 28 days ago","Maadi, Cairo, Egypt ",Entry Level · 0 - 2 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Engineering · Computer Engineering · Computer Science · Data · Data Migration · Development · Python,28 days ago,https://wuzzuf.net/jobs/p/kB8vGnlOb9fi-Data-Engineer-COB-Solution-Cairo-Egypt
